Date,Index
2003-02-28,149.96453232154
2003-01-31,150.32511905057
2002-12-31,150.39612887814
2002-11-30,149.46358238292
2002-10-31,148.86639369453
2002-09-30,148.35417981964
2002-08-31,147.69580087898
2002-07-31,146.94986902905
2002-06-30,145.50516950012
2002-05-31,143.74983171236
2002-04-30,141.87072561035
2002-03-31,141.13119197226
2002-02-28,140.70466006944
2002-01-31,140.68086701108
2001-12-31,140.53675089644
2001-11-30,139.72047212374
2001-10-31,139.2955430652
2001-09-30,138.56878194011
2001-08-31,138.61950816343
2001-07-31,137.70213684122
2001-06-30,136.16613008832
2001-05-31,135.10759767369
2001-04-30,134.56224970615
2001-03-31,134.06097078639
2001-02-28,133.45071330692
2001-01-31,133.4611934878
2000-12-31,133.78473807349
2000-11-30,133.09215382135
2000-10-31,132.47630582378
2000-09-30,131.97461864182
2000-08-31,131.90292733779
2000-07-31,130.91231186051
2000-06-30,130.14122343839
2000-05-31,129.38438568194
2000-04-30,128.08522800656
2000-03-31,126.8164640403
2000-02-29,126.73297341985
2000-01-31,126.76122221047
1999-12-31,126.6000223066
1999-11-30,126.09909931445
1999-10-31,125.76825829831
1999-09-30,125.43861117053
1999-08-31,125.39377888817
1999-07-31,124.78973921616
1999-06-30,124.09915722295
1999-05-31,122.80785239792
1999-04-30,121.61696808769
1999-03-31,121.42899680144
1999-02-28,120.97731030485
1999-01-31,120.77685191322
1998-12-31,120.71912187131
1998-11-30,120.32324852295
1998-10-31,120.06622004863
1998-09-30,120.03672842929
1998-08-31,119.73187335168
1998-07-31,119.16142711884
1998-06-30,118.43599307719
1998-05-31,117.50374114402
1998-04-30,116.64619776421
1998-03-31,115.96621151865
1998-02-28,115.51499163068
1998-01-31,115.4500547897
1997-12-31,115.24558836949
1997-11-30,114.81536393404
1997-10-31,114.44904275395
1997-09-30,114.60427998485
1997-08-31,114.67645685736
1997-07-31,114.47885746572
1997-06-30,114.03169421336
1997-05-31,113.46045615735
1997-04-30,112.66036082312
1997-03-31,112.2475312839
1997-02-28,112.10519771558
1997-01-31,112.37008996924
1996-12-31,112.6717299453
1996-11-30,112.76077291027
1996-10-31,113.07314345177
1996-09-30,113.5317655653
1996-08-31,113.81646612454
1996-07-31,113.72321204055
1996-06-30,113.43160422841
1996-05-31,112.89190615637
1996-04-30,112.45421265061
1996-03-31,112.25814919303
1996-02-29,112.47047789859
1996-01-31,112.87211331577
1995-12-31,113.65239085419
1995-11-30,113.74138561497
1995-10-31,113.79963734583
1995-09-30,114.18501298619
1995-08-31,114.29009999556
1995-07-31,114.25032680061
1995-06-30,113.76906306632
1995-05-31,113.46330038152
1995-04-30,113.23380533504
1995-03-31,113.19507880456
1995-02-28,113.44394525563
1995-01-31,113.94094810586
1994-12-31,114.46766315646
1994-11-30,114.59630420441
1994-10-31,114.94283001149
1994-09-30,115.0727582705
1994-08-31,115.35008510647
1994-07-31,115.45166796672
1994-06-30,115.24033324907
1994-05-31,114.9158010842
1994-04-30,114.25632567726
1994-03-31,113.89698357999
1994-02-28,114.073687159
1994-01-31,114.45503466872
1993-12-31,114.64576365808
1993-11-30,114.72941563171
1993-10-31,114.80815922515
1993-09-30,115.31829186587
1993-08-31,115.45377102018
1993-07-31,115.40906301746
1993-06-30,114.86375801014
1993-05-31,114.3019126652
1993-04-30,113.912359655
1993-03-31,113.81691702705
1993-02-28,114.13236039982
1993-01-31,114.63457877521
1992-12-31,115.30412308963
1992-11-30,115.3947040981
1992-10-31,115.58613164915
1992-09-30,116.03905649822
1992-08-31,116.52489635441
1992-07-31,116.82465811055
1992-06-30,116.90675778026
1992-05-31,117.01118817078
1992-04-30,116.68964601156
1992-03-31,116.44859164214
1992-02-29,116.78970522984
1992-01-31,117.28227318823
1991-12-31,117.66494721173
1991-11-30,118.06089121274
1991-10-31,118.79703050055
1991-09-30,119.41468133787
1991-08-31,119.96582591207
1991-07-31,120.1956088842
1991-06-30,119.96802120333
1991-05-31,119.55974890959
1991-04-30,119.19337472658
1991-03-31,119.09417015508
1991-02-28,119.44071272883
1991-01-31,120.06489207173
1990-12-31,121.48481759994
1990-11-30,122.13889034825
1990-10-31,123.26444315639
1990-09-30,124.51709579047
1990-08-31,125.96600167257
1990-07-31,127.26139244162
1990-06-30,127.66558107272
1990-05-31,128.01775950474
1990-04-30,127.8874283064
1990-03-31,127.6688601397
1990-02-28,128.02770150416
1990-01-31,128.52988552548
1989-12-31,129.80742405662
1989-11-30,130.05781946037
1989-10-31,130.3139517188
1989-09-30,130.8264809731
1989-08-31,130.99231240818
1989-07-31,130.8055818023
1989-06-30,130.52694368122
1989-05-31,130.15189445559
1989-04-30,130.14630496358
1989-03-31,130.1963248821
1989-02-28,130.16804681114
1989-01-31,130.08706822587
1988-12-31,130.13816641721
1988-11-30,129.97566763421
1988-10-31,129.65300635746
1988-09-30,129.64116946025
1988-08-31,129.81324896197
1988-07-31,129.45814476734
1988-06-30,128.88605827202
1988-05-31,128.23626110251
1988-04-30,127.54322312358
1988-03-31,127.35155303059
1988-02-29,127.14973224332
1988-01-31,126.8635777889
1987-12-31,126.75022891488
1987-11-30,126.28297430778
1987-10-31,126.03804339104
1987-09-30,125.84772132056
1987-08-31,125.84564274485
1987-07-31,125.60474995065
1987-06-30,124.87347845357
1987-05-31,124.04944213574
1987-04-30,123.39992401258
1987-03-31,123.09647725207
1987-02-28,123.00568247331
1987-01-31,122.67846211137
1986-12-31,122.70622133763
1986-11-30,121.91806170484
1986-10-31,121.42334047116
1986-09-30,120.85587928158
1986-08-31,120.51143405608
1986-07-31,119.69392404722
1986-06-30,118.51560729211
1986-05-31,117.99360127197
1986-04-30,117.2063394629
1986-03-31,115.92298858063
1986-02-28,114.52936038124
1986-01-31,113.5442736975
1985-12-31,113.17465519716
1985-11-30,112.88348733505
1985-10-31,112.58086992895
1985-09-30,112.36246765045
1985-08-31,111.95143631774
1985-07-31,111.38899462334
1985-06-30,110.80258751025
1985-05-31,110.31671213243
1985-04-30,109.89081897712
1985-03-31,109.66515538208
1985-02-28,109.45523484187
1985-01-31,109.47707603963
1984-12-31,109.30705180215
1984-11-30,109.0693040876
1984-10-31,109.05304783362
1984-09-30,109.16288205251
1984-08-31,109.36372118132
1984-07-31,109.2598056
1984-06-30,109.07874313961
1984-05-31,108.76819982419
1984-04-30,108.39981368187
1984-03-31,108.32119555713
1984-02-29,108.04170920444
1984-01-31,108.22327295369
1983-12-31,108.54532674802
1983-11-30,108.36926111858
1983-10-31,108.43555563549
1983-09-30,108.55249000699
1983-08-31,108.80374674096
1983-07-31,108.64856367616
1983-06-30,108.46600305164
1983-05-31,108.26340685118
1983-04-30,108.37751268683
1983-03-31,108.59290783953
1983-02-28,108.14266855172
1983-01-31,107.69315110207
1982-12-31,107.55209674357
1982-11-30,106.93188661118
1982-10-31,106.70756587644
1982-09-30,107.03674098069
1982-08-31,107.21862233344
1982-07-31,107.48464444904
1982-06-30,108.06736579425
1982-05-31,109.42772861035
1982-04-30,110.32345738099
1982-03-31,110.64778634965
1982-02-28,110.59415488846
1982-01-31,110.76673584246
1981-12-31,111.04512854066
1981-11-30,111.30931873104
1981-10-31,111.6599705168
1981-09-30,111.75264997759
1981-08-31,112.6313698818
1981-07-31,112.91277456554
1981-06-30,113.5733428291
1981-05-31,113.84885546661
1981-04-30,113.95320002945
1981-03-31,113.71513482952
1981-02-28,113.81461836442
1981-01-31,114.52471373615
1980-12-31,115.08917812759
1980-11-30,115.70305354315
1980-10-31,116.19639185558
1980-09-30,116.83686881866
1980-08-31,117.2561453329
1980-07-31,117.4186227735
1980-06-30,116.60878563701
1980-05-31,117.1802681132
1980-04-30,117.50548709366
1980-03-31,117.71984589446
1980-02-29,118.49870403515
1980-01-31,119.47831097393
1979-12-31,120.57528778811
1979-11-30,121.1160155611
1979-10-31,121.37558289155
1979-09-30,121.28192929855
1979-08-31,121.57026427937
1979-07-31,121.51380008958
1979-06-30,121.49993368837
1979-05-31,121.32116241847
1979-04-30,121.28568323834
1979-03-31,121.10010234782
1979-02-28,120.71666010811
1979-01-31,120.62058938361
1978-12-31,120.09982074632
1978-11-30,119.22800965484
1978-10-31,118.51103512734
1978-09-30,118.42517549586
1978-08-31,118.0774024292
1978-07-31,117.06958009679
1978-06-30,116.32973794105
1978-05-31,115.85059098657
1978-04-30,115.35117282642
1978-03-31,114.75902182859
1978-02-28,114.08261716231
1978-01-31,113.54260252196
1977-12-31,113.14034717142
1977-11-30,112.49307733473
1977-10-31,111.88422884692
1977-09-30,110.84077244237
1977-08-31,109.75553316212
1977-07-31,109.01044512209
1977-06-30,108.43528340084
1977-05-31,108.34553683924
1977-04-30,107.56419849199
1977-03-31,106.58369894688
1977-02-28,105.7989398141
1977-01-31,105.63679605845
1976-12-31,105.29159995174
1976-11-30,104.7803367186
1976-10-31,104.3589281512
1976-09-30,104.5644167037
1976-08-31,104.17947457443
1976-07-31,104.03731732125
1976-06-30,103.70530194296
1976-05-31,103.96055328847
1976-04-30,103.53849399565
1976-03-31,102.92902396645
1976-02-29,102.24685581695
1976-01-31,102.36065360327
1975-12-31,102.06702153871
1975-11-30,102.09179210603
1975-10-31,102.14187467383
1975-09-30,101.98593170343
1975-08-31,101.54060400693
1975-07-31,101.1160330516
1975-06-30,101.66908422852
1975-05-31,102.48580005468
1975-04-30,102.76364068388
1975-03-31,103.00340784218
1975-02-28,103.15126127042
1975-01-31,103.77482391613
1974-12-31,102.22255607603
1974-11-30,101.43376556803
1974-10-31,101.46487385843
1974-09-30,101.62701962769
1974-08-31,101.85422710644
1974-07-31,102.15869445142
1974-06-30,102.48635891798
1974-05-31,102.74649546593
1974-04-30,103.5139950151
1974-03-31,103.57639787949
1974-02-28,103.76677949965
1974-01-31,104.26626866515
1973-12-31,104.32520015602
1973-11-30,104.31216451971
1973-10-31,104.53211449456
1973-09-30,104.67310922083
1973-08-31,104.51229699991
1973-07-31,105.43965538807
1973-06-30,105.75838737802
1973-05-31,106.23892384641
1973-04-30,106.72607320197
1973-03-31,107.46551481769
1973-02-28,108.38491382725
1973-01-31,109.14818786829
1972-12-31,109.65517102212
1972-11-30,109.83020707602
1972-10-31,110.00607072355
1972-09-30,110.61284513119
1972-08-31,110.96058972477
1972-07-31,110.80250182231
1972-06-30,110.22908817585
1972-05-31,109.81252571145
1972-04-30,109.73554496213
1972-03-31,109.82939949503
1972-02-29,110.18114110197
1972-01-31,110.45861708662
1971-12-31,110.11370337206
1971-11-30,110.39220643864
1971-10-31,109.52570560318
1971-09-30,109.44670111524
1971-08-31,109.18611373163
1971-07-31,109.1060807514
1971-06-30,109.20023423025
1971-05-31,108.86991712968
1971-04-30,108.61750036341
